severity_score,priority_tier,sla_tier_hours,queue_size,regulatory_flag,vip_customer,channel_is_digital,hour_of_day,sla_breached
0.88,3,5,16,0,0,1,15,1
0.24,4,72,14,0,0,1,22,0
0.664,3,72,17,0,0,1,10,0
0.454,3,48,7,0,0,1,17,0
0.69,2,24,23,0,0,0,16,1
0.981,2,48,7,0,0,1,4,1
0.974,5,48,22,0,0,0,3,1
0.574,4,72,14,0,0,1,15,0
0.065,4,5,18,0,1,1,18,0
0.085,2,5,17,0,0,0,7,0
0.38,4,48,27,0,0,1,1,1
0.74,2,24,8,0,0,1,2,1
0.409,5,72,9,1,0,1,14,0
0.233,3,24,13,1,0,1,8,0
0.071,2,48,19,0,0,1,3,0
0.304,4,48,16,0,0,1,13,0
0.604,1,5,7,0,0,1,0,0
0.672,3,5,24,0,0,1,8,1
0.585,4,5,15,0,0,1,5,1
0.694,3,72,26,0,1,1,8,1
0.97,4,5,21,0,0,1,16,1
0.756,4,5,6,0,0,1,22,1
0.029,5,24,22,0,0,1,2,1
0.841,1,72,30,1,0,1,22,1
0.705,4,72,15,0,0,1,19,0
0.879,1,48,24,0,0,0,16,1
0.003,3,72,27,0,0,1,17,0
0.377,3,24,22,0,0,0,13,1
0.745,4,72,21,0,0,1,1,1
0.965,3,5,27,0,0,0,0,1
0.41,2,5,15,0,0,1,12,1
0.852,5,72,30,0,0,0,17,1
0.068,3,24,23,1,0,0,22,0
0.444,3,5,1,0,1,1,13,1
0.531,5,24,5,0,0,1,21,1
0.913,2,24,14,0,0,1,14,1
0.678,2,5,14,0,0,1,13,1
0.457,3,24,12,0,0,1,11,1
0.993,3,5,26,0,0,1,21,1
0.974,5,72,26,0,0,0,19,1
0.219,2,48,21,0,0,1,4,0
0.903,1,48,25,0,0,1,2,1
0.327,4,24,6,0,0,0,16,0
0.273,2,48,29,0,0,0,23,0
0.804,4,5,4,0,0,1,21,1
0.967,5,48,2,0,1,1,14,1
0.749,3,72,26,0,0,1,15,1
0.884,5,48,29,0,0,1,14,1
0.302,4,5,4,1,1,0,3,1
0.887,2,72,14,0,0,1,17,0
0.742,2,72,20,1,0,1,8,1
0.371,4,72,30,0,0,0,11,0
0.978,3,5,12,0,0,0,14,1
0.212,5,5,1,0,0,1,18,1
0.83,5,24,18,0,0,1,4,1
0.596,3,24,4,0,0,1,0,1
0.358,2,48,0,0,1,1,16,0
0.064,4,48,16,0,0,1,19,0
0.783,5,48,14,0,1,0,12,1
0.108,4,5,28,1,0,1,8,1
0.585,3,72,19,0,0,1,3,0
0.114,5,24,13,0,0,1,14,0
0.73,3,72,10,0,0,1,15,0
0.832,1,72,3,0,0,1,1,0
0.562,3,5,13,0,0,0,23,1
0.288,3,48,3,0,0,1,7,0
0.35,5,48,3,0,0,0,17,0
0.818,5,5,19,0,0,1,5,1
0.762,3,48,0,0,0,1,2,1
0.633,1,5,23,0,0,1,5,1
0.722,5,5,28,1,0,1,21,1
0.443,4,72,19,0,0,0,3,0
0.111,5,72,16,0,1,1,19,0
0.204,2,24,24,0,0,1,23,0
0.129,5,24,16,0,0,1,12,0
0.042,1,72,29,1,0,1,12,0
0.418,1,72,0,0,0,0,14,0
0.92,1,72,27,1,0,1,2,1
0.31,3,24,10,0,1,1,16,0
0.906,3,48,23,0,0,1,3,1
0.197,5,24,24,0,1,0,20,1
0.754,5,72,21,0,0,1,19,1
0.971,3,24,14,1,0,1,8,1
0.352,1,48,14,0,1,0,2,0
0.977,1,72,14,0,0,1,1,0
0.81,2,48,19,0,0,1,3,1
0.837,1,24,1,0,0,1,16,0
0.364,3,72,13,0,0,1,20,0
0.066,1,72,9,0,0,0,19,0
0.333,5,24,29,0,0,1,12,1
0.709,1,48,17,0,0,0,21,0
0.947,5,5,20,0,0,1,9,1
0.214,4,24,7,0,0,1,3,0
0.54,5,5,21,0,0,1,12,1
0.181,5,24,23,0,0,1,7,1
0.611,4,24,17,0,0,0,6,1
0.947,4,72,24,0,0,1,5,1
0.801,2,48,1,0,0,1,3,0
0.516,1,48,2,0,0,0,4,0
0.092,2,72,28,0,1,1,16,0
0.386,1,48,7,1,0,0,20,0
0.146,1,48,29,0,0,1,22,0
0.615,1,5,8,0,0,0,19,1
0.111,3,24,9,0,0,1,19,0
0.111,4,5,20,0,0,1,13,1
0.353,5,72,5,0,0,0,2,0
0.544,5,5,12,0,1,1,11,1
0.016,1,48,7,0,0,0,23,0
0.133,3,48,26,0,0,1,22,0
0.182,2,5,22,0,0,1,1,0
0.886,3,48,16,0,0,1,1,1
0.191,3,5,27,0,0,0,13,1
0.743,4,48,5,0,0,0,16,1
0.083,4,5,13,0,0,1,10,1
0.328,3,48,14,0,0,1,11,0
0.727,3,72,8,0,0,1,21,0
0.363,2,5,4,0,0,1,4,1
0.779,3,48,12,0,1,1,14,1
0.372,1,24,16,0,0,1,3,0
0.186,5,72,29,0,0,1,14,0
0.612,4,24,3,0,1,1,22,1
0.088,3,48,22,1,0,0,5,0
0.927,2,48,16,0,0,0,7,1
0.026,5,48,14,0,0,1,2,0
0.398,4,72,24,0,0,1,10,0
0.45,5,48,4,0,0,1,5,0
0.129,5,5,26,0,0,1,10,1
0.225,5,48,27,1,0,0,8,1
0.303,5,5,16,0,0,1,5,1
0.721,5,48,26,0,1,0,2,1
0.641,5,48,20,0,0,1,0,1
0.627,3,48,15,0,0,1,14,1
0.06,4,72,15,0,0,1,22,0
0.988,3,72,4,0,0,1,7,0
0.267,2,24,3,1,0,0,13,0
0.865,2,48,29,0,0,0,15,1
0.467,3,72,0,1,0,1,7,0
0.353,1,48,15,0,0,1,9,0
0.847,4,24,28,0,0,1,1,1
0.57,2,48,17,0,0,1,17,0
0.989,5,5,4,0,0,0,10,1
0.366,2,24,19,0,0,1,4,0
0.804,5,72,4,0,0,1,19,1
0.393,5,48,18,0,0,1,22,1
0.475,1,48,10,0,0,1,23,0
0.629,5,72,8,0,0,0,18,0
0.051,4,24,16,0,0,0,4,0
0.242,5,5,6,1,0,1,22,1
0.502,5,72,27,0,0,1,16,1
0.325,4,72,10,0,0,1,17,0
0.772,3,72,6,0,0,1,9,0
0.705,4,48,15,0,0,0,8,1
0.573,5,72,28,0,0,0,4,1
0.288,1,48,29,0,0,1,6,0
0.271,5,48,4,1,0,1,1,0
0.531,2,5,3,0,0,1,4,1
0.55,2,72,20,0,0,1,6,0
0.287,3,5,29,0,0,1,23,1
0.937,2,72,28,0,0,1,12,1
0.186,3,5,0,0,0,0,10,0
0.989,5,72,28,0,0,1,6,1
0.331,4,48,22,0,0,0,18,0
0.193,5,72,26,0,0,1,3,0
0.141,3,24,0,0,0,0,10,0
0.723,1,48,20,0,0,1,14,1
0.405,5,48,22,1,0,1,19,1
0.957,4,24,14,0,0,1,17,1
0.757,2,24,21,0,0,1,14,1
0.362,5,5,1,0,0,1,17,1
0.328,5,72,3,0,0,1,16,0
0.056,2,72,14,0,0,1,9,0
0.396,1,24,18,1,0,1,17,0
0.935,1,72,1,0,0,1,20,0
0.646,4,48,28,0,0,0,12,1
0.964,5,24,20,0,0,0,12,1
0.728,2,5,24,1,0,1,17,1
0.379,2,24,14,0,0,0,23,0
0.032,4,5,7,0,0,1,19,0
0.872,2,5,12,0,0,0,1,1
0.993,2,48,18,0,0,1,9,1
0.986,5,24,13,0,1,0,23,1
0.626,4,72,1,0,0,1,16,0
0.416,2,48,12,0,0,1,7,0
0.708,4,5,17,0,0,1,12,1
0.203,1,72,27,0,0,0,1,0
0.674,5,5,27,1,0,1,21,1
0.479,3,48,30,0,0,1,23,1
1.0,4,24,22,0,0,0,17,1
0.283,4,48,9,0,0,1,3,0
0.722,3,24,11,0,1,0,23,1
0.261,5,72,9,0,0,1,7,0
0.655,3,48,24,0,0,1,15,1
0.733,3,24,4,0,0,0,17,1
0.957,5,5,26,0,0,1,0,1
0.843,2,5,22,0,0,1,1,1
0.667,5,72,21,0,1,1,0,1
0.722,5,48,0,0,0,1,5,1
0.096,2,24,6,0,0,1,12,0
0.959,4,24,22,0,0,0,20,1
0.65,1,5,12,0,0,1,0,1
0.083,4,48,18,0,0,0,1,0
0.901,5,72,8,1,1,0,17,1
0.033,3,5,30,0,0,0,12,0
0.299,5,24,18,0,0,0,10,1
0.74,1,48,1,1,0,1,19,0
0.955,4,48,0,0,0,1,7,1
0.941,4,24,21,0,0,0,9,1
0.713,1,48,4,0,0,1,12,0
0.107,1,48,14,0,0,1,5,0
0.557,5,72,3,1,0,1,19,0
0.864,1,48,13,0,0,0,7,0
0.17,4,24,4,0,0,1,5,0
0.421,4,5,11,0,0,1,19,1
0.458,2,48,0,0,0,1,10,0
0.431,5,24,9,0,0,1,10,1
0.398,3,48,23,0,0,1,7,0
0.28,4,48,3,0,0,0,5,0
0.55,4,24,14,0,0,1,13,1
0.139,3,24,8,0,0,0,2,0
0.598,5,72,17,0,0,1,17,1
0.968,5,5,3,0,0,1,20,1
0.563,4,48,30,0,0,1,7,1
0.519,5,24,14,0,0,1,22,1
0.345,1,72,3,0,0,1,23,0
0.312,4,24,16,0,0,1,22,1
0.067,1,5,0,0,0,1,5,0
0.74,5,24,17,0,0,0,7,1
0.63,2,72,12,1,0,1,18,0
0.004,2,24,8,0,0,1,3,0
0.537,3,48,6,0,0,0,16,0
0.313,4,72,18,1,0,1,5,0
0.706,3,5,21,0,0,1,5,1
0.141,4,72,19,0,0,1,20,0
0.919,2,24,15,0,0,0,19,1
0.359,1,72,4,0,0,1,20,0
0.685,4,72,15,0,0,0,7,1
0.275,5,48,5,0,0,0,15,0
0.113,1,48,24,0,0,1,1,0
0.441,2,72,3,0,0,1,1,0
0.349,1,72,27,0,0,1,23,0
0.351,5,72,5,0,0,0,1,0
0.532,5,24,10,0,0,1,16,1
0.679,1,24,30,0,0,1,8,1
0.127,2,24,4,0,0,0,21,0
0.142,3,72,12,0,0,0,2,0
0.75,3,72,30,0,0,0,23,1
0.972,3,5,25,0,0,1,6,1
0.323,3,48,17,0,0,1,10,0
0.762,1,5,20,0,0,1,5,1
0.001,4,24,22,0,0,1,8,0
0.36,1,48,21,0,0,1,9,0
0.755,4,5,22,1,0,1,18,1
0.68,1,5,22,0,0,0,22,1
0.071,4,5,23,0,0,1,9,1
0.773,2,24,2,0,1,1,14,1
0.213,2,72,19,0,0,1,3,0
0.123,4,48,30,0,0,1,20,0
0.553,5,48,24,0,1,0,9,1
0.607,2,72,9,0,0,0,7,0
0.113,4,5,16,0,1,1,10,1
0.861,5,72,11,0,0,1,2,1
0.068,3,24,1,0,0,1,9,0
0.501,4,72,22,0,0,1,4,0
0.31,5,24,25,0,0,1,20,1
0.066,4,24,1,0,0,1,19,0
0.309,2,5,0,0,0,1,11,0
0.783,3,24,11,0,0,1,3,1
0.029,4,48,16,1,0,1,2,0
0.511,1,72,27,0,0,1,3,0
0.674,1,24,23,0,1,0,7,1
0.364,2,24,29,0,1,0,22,1
0.419,3,24,13,0,0,0,18,1
0.502,1,24,7,0,0,0,2,0
0.866,3,48,2,0,1,1,18,0
0.74,2,72,11,0,0,0,6,0
0.547,2,24,0,0,1,1,20,0
0.877,3,5,24,0,0,1,3,1
0.983,4,72,30,1,0,1,2,1
0.231,5,72,22,0,0,1,18,0
0.134,4,5,18,0,0,0,7,1
0.851,4,48,10,0,0,0,4,1
0.585,2,5,5,0,0,1,11,1
0.208,3,72,8,0,0,0,9,0
0.697,1,24,26,0,0,1,11,1
0.049,3,48,26,0,1,1,14,0
0.55,1,72,3,0,0,1,7,0
0.824,3,5,18,0,0,1,2,1
0.646,2,5,28,0,0,1,14,1
0.924,4,72,15,1,0,1,6,1
0.275,4,24,1,0,0,1,15,0
0.551,1,5,8,0,0,1,16,1
0.994,5,5,12,0,0,1,15,1
0.566,3,72,8,0,0,1,8,0
0.992,5,48,24,0,0,1,7,1
0.267,1,24,18,0,0,1,5,0
0.593,3,5,22,0,0,1,18,1
0.837,4,48,5,0,0,1,7,1
0.478,3,24,25,0,0,0,10,1
0.148,2,5,27,0,0,1,22,0
0.396,1,48,9,0,0,1,13,0
0.961,3,24,22,0,0,0,11,1
0.589,2,72,9,0,0,1,0,0
0.949,4,5,5,0,0,0,7,1
0.104,4,24,10,0,0,0,5,0
0.963,3,72,0,0,0,1,8,0
0.72,1,72,14,0,0,0,15,0
0.351,4,5,26,0,0,1,21,1
0.451,1,48,0,0,0,1,5,0
0.161,1,5,10,0,0,1,0,0
0.654,5,72,5,1,0,0,13,0
0.722,5,48,21,0,0,1,18,1
0.491,1,48,0,0,0,1,19,0
0.097,2,24,20,0,0,0,9,0
0.471,3,5,20,0,0,0,11,1
0.045,4,72,8,0,0,1,22,0
0.086,3,72,24,0,0,0,16,0
0.536,4,24,15,0,0,0,1,1
0.9,5,24,3,0,0,0,5,1
0.808,2,5,13,1,0,1,20,1
0.595,3,5,2,0,0,1,8,1
0.917,1,72,3,0,0,1,3,0
0.563,1,48,27,0,0,1,12,0
0.572,4,5,5,0,0,1,22,1
0.396,3,24,1,0,0,0,0,0
0.794,3,48,26,0,0,1,7,1
0.974,4,48,8,0,0,1,14,1
0.824,4,48,26,1,0,1,22,1
0.136,5,5,5,0,0,0,7,1
0.051,3,24,8,0,0,1,3,0
0.242,4,72,5,0,0,1,11,0
0.894,1,48,0,0,0,1,6,0
0.647,2,48,20,0,1,0,21,1
0.912,2,5,7,0,0,1,22,1
0.424,4,48,14,0,0,1,19,0
0.102,5,48,17,0,0,1,3,0
0.336,3,48,27,0,0,0,20,0
0.15,2,5,25,0,0,1,10,0
0.721,4,48,8,0,0,1,18,1
0.572,2,48,23,0,0,1,15,0
0.672,5,48,27,0,0,1,9,1
0.128,3,24,30,0,0,1,11,1
0.871,4,48,11,0,0,0,15,1
0.634,5,5,15,0,0,0,12,1
0.413,2,24,6,0,0,0,14,0
0.862,2,5,15,0,0,1,1,1
0.274,2,24,15,0,0,1,13,0
0.403,4,72,0,1,0,1,0,0
0.757,5,24,0,0,0,1,22,1
0.312,1,72,16,0,0,0,9,0
0.456,5,48,13,0,0,1,15,1
0.188,4,5,7,0,0,1,0,0
0.169,3,5,12,0,0,1,1,0
0.048,1,5,1,0,0,1,17,0
0.702,2,5,9,0,0,1,19,1
0.137,1,5,9,1,0,1,6,0
0.831,2,48,22,0,0,1,6,1
0.481,2,5,0,0,0,0,21,0
0.949,5,5,23,0,0,1,14,1
0.296,4,5,3,0,0,0,11,0
0.313,1,5,27,0,1,0,21,1
0.329,4,48,28,0,0,1,3,1
0.962,3,72,22,0,0,1,5,1
0.696,1,24,3,0,0,0,21,0
0.611,3,5,27,0,0,0,4,1
0.488,4,72,1,1,0,1,21,0
0.744,5,24,30,0,0,1,22,1
0.433,2,72,11,0,0,1,17,0
0.613,1,24,16,0,0,0,2,0
0.321,3,48,1,0,0,1,7,0
0.444,5,72,2,0,0,1,15,0
0.018,4,72,1,0,1,1,19,0
0.638,5,24,20,0,0,1,1,1
0.844,3,72,22,0,0,1,21,1
0.341,3,48,22,1,0,1,22,0
0.409,3,24,6,0,0,1,6,0
0.108,4,5,29,0,0,1,14,1
0.589,5,24,30,0,0,1,13,1
0.483,5,24,22,0,0,1,12,1
0.606,3,72,13,0,0,0,8,0
0.343,3,72,25,0,0,1,23,0
0.843,5,48,22,0,0,1,6,1
0.291,3,24,22,0,0,1,22,1
0.71,3,72,18,0,0,1,23,0
0.534,4,5,16,1,0,1,1,1
0.75,2,48,21,0,0,1,9,1
0.541,3,72,3,0,0,1,7,0
0.561,2,48,22,0,0,1,21,1
0.552,1,48,6,0,0,0,7,0
0.705,3,24,24,0,0,1,21,1
0.962,5,5,12,1,0,1,5,1
0.255,3,72,22,0,1,0,19,0
0.932,5,48,15,0,0,1,22,1
0.22,2,5,25,0,0,1,2,1
0.883,3,48,11,0,0,1,15,1
0.824,1,5,21,0,0,1,19,1
0.04,3,72,29,0,0,1,23,0
0.911,3,72,15,1,0,1,16,1
0.096,5,5,20,1,0,0,21,1
0.104,5,72,20,0,1,1,0,0
0.332,1,5,1,0,0,1,7,0
0.408,4,72,13,0,0,1,0,0
0.618,5,5,22,0,0,1,9,1
0.301,1,48,24,0,0,0,0,0
0.533,2,72,25,0,0,0,4,0
0.887,3,5,17,0,0,1,18,1
0.537,1,48,6,0,0,1,13,0
0.851,2,24,5,0,0,1,5,1
0.567,1,72,20,0,0,1,3,0
0.581,3,48,4,0,0,1,2,0
0.318,4,48,19,0,0,1,18,0
0.316,4,24,0,0,0,1,20,0
0.84,2,48,28,0,0,0,15,1
0.176,5,5,26,0,0,0,6,1
0.886,1,5,28,1,0,1,18,1
0.769,2,5,17,0,0,1,20,1
0.366,2,48,4,0,0,1,16,0
0.239,5,24,24,0,0,1,18,1
0.968,4,48,1,0,0,1,11,1
0.669,5,48,12,0,0,1,20,1
0.704,5,48,26,0,0,1,12,1
0.365,1,48,12,0,0,1,11,0
0.482,5,5,16,0,0,1,16,1
0.212,2,24,11,0,0,1,13,0
0.72,4,72,15,0,0,0,0,1
0.128,5,24,4,0,1,1,1,0
0.922,5,72,19,0,0,0,23,1
0.283,1,24,14,0,0,1,7,0
0.601,5,24,19,0,0,1,10,1
0.597,1,24,12,0,0,1,16,0
0.827,5,5,5,0,0,1,17,1
0.118,4,24,28,0,0,0,21,1
0.522,3,5,22,0,0,0,12,1
0.805,5,5,13,0,0,1,2,1
0.877,4,48,6,1,0,1,16,1
0.007,2,48,13,0,0,1,8,0
0.536,5,48,19,0,0,0,13,1
0.558,2,48,17,0,0,1,11,0
0.398,2,5,23,0,0,0,3,1
0.401,3,5,5,0,0,0,4,1
0.6,1,5,8,0,0,1,12,0
0.401,5,48,22,0,1,0,5,1
0.439,2,48,6,1,0,1,7,0
0.674,3,24,20,1,0,0,12,1
0.395,5,24,16,1,0,0,17,1
0.83,5,48,11,0,0,1,6,1
0.404,1,48,5,0,0,1,9,0
0.117,5,48,28,0,0,1,14,0
0.563,2,48,30,0,0,0,0,1
0.258,4,24,21,0,0,1,11,1
0.01,3,24,9,1,0,0,2,0
0.178,3,48,6,0,0,0,21,0
0.19,2,24,23,0,0,1,7,0
0.356,1,5,29,1,0,1,0,1
0.541,1,72,11,0,0,0,18,0
0.491,5,48,12,0,0,1,13,1
0.541,5,48,12,0,0,1,3,1
0.46,1,5,21,0,0,1,19,1
0.187,3,24,8,0,0,1,15,0
0.419,3,48,27,0,0,1,18,0
0.814,3,24,17,0,0,1,23,1
0.806,2,72,15,0,0,1,17,0
0.785,3,48,17,0,1,1,5,1
0.814,4,5,14,0,0,1,17,1
0.258,1,72,3,0,0,1,18,0
0.649,2,48,11,0,0,0,14,0
0.381,3,72,20,0,0,1,10,0
0.612,4,5,2,0,0,1,9,1
0.605,4,48,28,0,0,1,18,1
0.45,2,24,27,1,0,1,23,1
0.08,2,72,3,1,0,1,1,0
0.397,1,5,8,0,0,0,12,0
0.247,3,72,20,0,0,1,1,0
0.86,3,72,14,0,0,1,14,1
0.948,5,24,18,0,0,1,18,1
0.64,5,48,29,0,0,0,14,1
0.412,2,48,0,1,0,0,11,0
0.535,4,72,9,1,0,1,7,0
0.548,2,72,28,0,0,1,23,0
0.828,2,48,2,0,0,0,19,0
0.685,3,48,13,0,1,1,3,1
0.618,3,72,6,0,0,0,0,0
0.102,3,24,22,0,1,1,0,0
0.342,3,72,11,0,0,1,4,0
0.776,1,72,5,0,0,0,0,0
0.768,2,72,24,0,0,0,6,0
0.771,5,24,15,0,0,0,5,1
0.042,5,5,8,0,0,1,1,0
0.218,1,24,20,0,1,0,18,0
0.789,1,5,18,0,0,1,11,1
0.249,4,5,21,0,0,0,20,1
0.356,2,5,4,0,0,1,20,0
0.806,4,24,0,0,0,1,1,1
0.438,3,72,6,0,0,1,14,0
0.831,5,24,2,0,0,0,17,1
0.001,5,72,23,0,1,0,19,0
0.721,5,72,6,0,0,1,19,1
0.41,3,5,3,0,1,0,4,1
0.031,1,72,6,1,0,0,21,0
0.624,5,48,1,0,0,1,6,0
0.928,1,72,25,0,0,1,13,0
0.794,1,48,16,1,1,1,6,1
0.097,2,72,6,0,0,1,5,0
0.558,1,48,21,0,0,0,5,0
0.55,5,48,21,0,0,1,11,1
0.55,3,48,13,0,0,1,19,0
0.546,4,48,11,0,0,1,23,1
0.284,1,24,28,0,0,1,10,1
0.822,3,24,3,1,0,1,11,1
0.25,3,48,2,0,0,1,2,0
0.793,2,72,26,0,0,0,3,0
0.3,5,72,2,0,0,1,13,0
0.868,2,5,20,0,0,1,1,1
0.565,3,24,4,1,0,1,14,1
0.575,1,24,13,0,0,1,2,0
0.745,5,72,8,1,0,0,4,1
0.481,2,72,12,0,0,1,23,0
0.242,3,72,10,0,0,1,13,0
0.348,3,48,19,0,0,1,11,0
0.99,4,24,14,1,0,1,11,1
0.728,1,5,23,1,0,0,9,1
0.694,1,48,14,0,0,1,6,0
0.523,3,72,19,0,0,1,0,0
0.906,5,5,8,0,0,0,19,1
0.465,1,5,12,0,0,0,11,0
0.019,4,24,12,0,0,0,15,0
0.532,2,24,16,0,0,1,1,1
0.529,3,72,12,0,1,1,11,0
0.236,5,48,25,1,0,1,0,1
0.949,2,24,10,0,0,1,12,1
0.678,2,72,7,0,0,1,19,0
0.542,2,24,18,0,0,0,9,1
0.899,2,72,29,0,0,0,5,1
0.557,1,24,10,0,0,1,10,0
0.414,4,48,14,0,0,1,23,0
0.779,1,24,5,1,0,1,19,1
0.231,2,24,21,1,1,0,4,1
0.605,3,24,27,0,0,1,7,1
0.765,1,48,30,0,0,0,6,1
0.927,4,72,22,0,0,1,12,1
0.608,4,48,12,0,0,1,16,1
0.704,1,5,14,0,0,0,7,1
0.396,1,72,16,0,0,1,14,0
0.305,3,72,5,0,0,1,16,0
0.464,4,5,23,0,0,1,22,1
0.393,3,72,0,0,0,1,6,0
0.09,3,24,22,0,0,1,20,0
0.524,4,24,12,0,1,1,10,1
0.66,2,24,27,0,0,1,9,1
0.769,4,48,20,0,0,0,0,1
0.253,4,72,27,0,0,1,15,0
0.589,4,72,13,0,0,1,17,0
0.629,2,5,5,0,0,1,1,1
0.838,3,48,29,1,0,0,5,1
0.611,5,24,30,0,0,0,2,1
0.323,4,5,24,0,0,1,4,1
0.859,3,72,16,0,0,1,18,0
0.629,1,72,23,0,0,0,9,0
0.848,3,48,29,0,0,1,20,1
0.808,5,24,22,0,0,1,14,1
0.118,2,72,13,1,0,0,6,0
0.201,3,48,25,1,0,1,0,1
0.333,4,5,26,0,0,1,21,1
0.475,1,24,15,0,0,0,10,0
0.814,1,48,18,0,0,1,6,1
0.332,3,5,4,0,1,0,20,0
0.166,5,72,5,0,0,0,22,0
0.71,3,72,2,0,0,1,9,0
0.302,1,48,25,1,0,1,16,0
0.483,5,24,6,0,0,0,9,1
0.143,1,24,6,0,0,1,16,0
0.311,1,5,10,0,1,1,21,0
0.022,3,24,10,0,0,1,14,0
0.273,2,48,3,1,0,1,6,0
0.549,3,24,30,0,0,1,2,1
0.892,5,72,1,0,0,1,3,1
0.086,4,24,22,0,0,0,22,0
0.356,3,24,22,0,0,1,14,1
0.093,4,5,14,0,0,0,15,1
0.224,5,48,29,0,0,0,10,0
0.882,4,72,0,1,0,1,5,1
0.349,5,24,16,1,0,0,10,1
0.071,3,72,12,0,0,1,5,0
0.384,3,24,26,0,0,0,18,1
0.545,2,24,21,0,0,1,15,1
0.596,3,5,26,0,0,1,19,1
0.814,4,48,15,0,1,1,4,1
0.903,1,24,21,0,0,1,18,1
0.206,3,48,18,0,0,0,13,0
0.915,1,5,19,0,0,1,9,1
0.901,1,5,22,0,0,1,9,1
0.235,5,72,20,0,0,1,17,0
0.173,2,24,17,0,0,0,4,0
0.873,2,24,0,1,1,1,15,1
0.975,2,5,4,0,0,1,22,1
0.426,2,72,16,0,0,1,7,0
0.605,5,72,27,0,0,1,17,1
0.033,1,72,22,0,0,0,2,0
0.731,3,72,16,1,0,1,15,1
0.664,1,48,19,1,0,0,15,1
0.906,5,48,13,0,0,1,5,1
0.923,3,48,1,0,0,1,21,0
0.809,5,5,9,0,0,1,8,1
0.616,3,48,0,0,0,0,23,0
0.447,2,48,25,0,0,0,1,0
0.084,2,24,26,0,0,0,7,0
0.726,2,24,18,0,0,1,3,1
0.464,4,48,15,0,0,1,12,0
0.39,3,24,16,0,1,0,14,1
0.316,5,5,3,0,0,0,13,1
0.652,3,48,8,0,0,1,12,0
0.675,2,24,16,0,0,1,17,1
0.008,1,5,13,1,0,1,7,0
0.252,1,5,19,1,0,1,6,0
0.638,1,5,27,0,0,0,20,1
0.967,1,24,8,0,0,1,14,1
0.276,4,48,8,0,1,0,12,0
0.996,3,48,5,0,0,0,19,1
0.645,1,24,17,0,0,1,14,1
0.103,1,5,18,0,0,1,15,0
